,iso3,TIME,theil,level
NOR-2010,NOR,2010,0.012755659,gdppc_tl2
NOR-2011,NOR,2011,0.012326004,gdppc_tl2
NOR-2012,NOR,2012,0.013451035,gdppc_tl2
NOR-2013,NOR,2013,0.013853341,gdppc_tl2
NOR-2014,NOR,2014,0.012847833,gdppc_tl2
NOR-2015,NOR,2015,0.011143527,gdppc_tl2
NOR-2016,NOR,2016,0.009785174,gdppc_tl2
NOR-2017,NOR,2017,0.009479595,gdppc_tl2
NOR-2018,NOR,2018,0.008607042,gdppc_tl2
NOR-2019,NOR,2019,0.009607798,gdppc_tl2
NOR-2020,NOR,2020,0.009607984,gdppc_tl2
NZL-2000,NZL,2000,0.02245017,gdppc_tl2
NZL-2001,NZL,2001,0.020083126,gdppc_tl2
NZL-2002,NZL,2002,0.020619109,gdppc_tl2
NZL-2003,NZL,2003,0.017354093,gdppc_tl2
NZL-2004,NZL,2004,0.014873844,gdppc_tl2
NZL-2005,NZL,2005,0.014127287,gdppc_tl2
NZL-2006,NZL,2006,0.014961992,gdppc_tl2
NZL-2007,NZL,2007,0.032752086,gdppc_tl2
NZL-2008,NZL,2008,0.033850296,gdppc_tl2
NZL-2009,NZL,2009,0.031071732,gdppc_tl2
NZL-2010,NZL,2010,0.029288549,gdppc_tl2
NZL-2011,NZL,2011,0.02707545,gdppc_tl2
NZL-2012,NZL,2012,0.027204677,gdppc_tl2
NZL-2013,NZL,2013,0.026076171,gdppc_tl2
NZL-2014,NZL,2014,0.023798785,gdppc_tl2
NZL-2015,NZL,2015,0.015600758,gdppc_tl2
NZL-2016,NZL,2016,0.012745133,gdppc_tl2
NZL-2017,NZL,2017,0.012602192,gdppc_tl2
NZL-2018,NZL,2018,0.013165186,gdppc_tl2
NZL-2019,NZL,2019,0.013236159,gdppc_tl2
NZL-2020,NZL,2020,0.01136375,gdppc_tl2
POL-2000,POL,2000,0.045629454,gdppc_tl2
POL-2001,POL,2001,0.046162202,gdppc_tl2
POL-2002,POL,2002,0.044709187,gdppc_tl2
POL-2003,POL,2003,0.043382644,gdppc_tl2
POL-2004,POL,2004,0.042638213,gdppc_tl2
POL-2005,POL,2005,0.046270383,gdppc_tl2
POL-2006,POL,2006,0.047227339,gdppc_tl2
POL-2007,POL,2007,0.047262911,gdppc_tl2
POL-2008,POL,2008,0.044483371,gdppc_tl2
POL-2009,POL,2009,0.047975248,gdppc_tl2
POL-2010,POL,2010,0.049782782,gdppc_tl2
POL-2011,POL,2011,0.048369412,gdppc_tl2
POL-2012,POL,2012,0.04940688,gdppc_tl2
POL-2013,POL,2013,0.049853923,gdppc_tl2
POL-2014,POL,2014,0.049616429,gdppc_tl2
POL-2015,POL,2015,0.049114177,gdppc_tl2
POL-2016,POL,2016,0.04913443,gdppc_tl2
POL-2017,POL,2017,0.050243104,gdppc_tl2
POL-2018,POL,2018,0.050795675,gdppc_tl2
POL-2019,POL,2019,0.051558045,gdppc_tl2
POL-2020,POL,2020,0.051119017,gdppc_tl2
PRT-2000,PRT,2000,0.021527563,gdppc_tl2
PRT-2001,PRT,2001,0.020342326,gdppc_tl2
PRT-2002,PRT,2002,0.020036651,gdppc_tl2
PRT-2003,PRT,2003,0.019642461,gdppc_tl2
PRT-2004,PRT,2004,0.020047058,gdppc_tl2
PRT-2005,PRT,2005,0.019691519,gdppc_tl2
PRT-2006,PRT,2006,0.01899081,gdppc_tl2
PRT-2007,PRT,2007,0.018781097,gdppc_tl2
PRT-2008,PRT,2008,0.018842924,gdppc_tl2
PRT-2009,PRT,2009,0.018296171,gdppc_tl2
PRT-2010,PRT,2010,0.017088025,gdppc_tl2
PRT-2011,PRT,2011,0.016555673,gdppc_tl2
PRT-2012,PRT,2012,0.014906453,gdppc_tl2
PRT-2013,PRT,2013,0.014151047,gdppc_tl2
PRT-2014,PRT,2014,0.01291324,gdppc_tl2
PRT-2015,PRT,2015,0.011530187,gdppc_tl2
PRT-2016,PRT,2016,0.011099014,gdppc_tl2
PRT-2017,PRT,2017,0.011321838,gdppc_tl2
PRT-2018,PRT,2018,0.01112331,gdppc_tl2
PRT-2019,PRT,2019,0.011571389,gdppc_tl2
PRT-2020,PRT,2020,0.009494094,gdppc_tl2
