"","REG_ID","TIME","GDP_PC","POP","REG_ID_M","iso3","Regional name (eng)","metro_code","metro_name","metro_lev1","metro_large","metro_far"
"106","AT121","2000",33195,236600,NA,"AUT","Mostviertel-Eisenwurzen","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"107","AT121","2001",33330,237580,NA,"AUT","Mostviertel-Eisenwurzen","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"108","AT121","2002",32796,237620,NA,"AUT","Mostviertel-Eisenwurzen","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"109","AT121","2003",33306,237740,NA,"AUT","Mostviertel-Eisenwurzen","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"110","AT121","2004",34259,238510,NA,"AUT","Mostviertel-Eisenwurzen","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"111","AT121","2005",34397,239610,NA,"AUT","Mostviertel-Eisenwurzen","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"112","AT121","2006",36078,240400,NA,"AUT","Mostviertel-Eisenwurzen","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"113","AT121","2007",38007,240760,NA,"AUT","Mostviertel-Eisenwurzen","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"114","AT121","2008",38376,241180,NA,"AUT","Mostviertel-Eisenwurzen","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"115","AT121","2009",36255,241300,NA,"AUT","Mostviertel-Eisenwurzen","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"116","AT121","2010",36429,241080,NA,"AUT","Mostviertel-Eisenwurzen","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"117","AT121","2011",37904,240990,NA,"AUT","Mostviertel-Eisenwurzen","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"118","AT121","2012",38502,241110,NA,"AUT","Mostviertel-Eisenwurzen","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"119","AT121","2013",38219,241490,NA,"AUT","Mostviertel-Eisenwurzen","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"120","AT121","2014",38231,242210,NA,"AUT","Mostviertel-Eisenwurzen","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"121","AT121","2015",38549,243560,NA,"AUT","Mostviertel-Eisenwurzen","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"122","AT121","2016",38950,245050,NA,"AUT","Mostviertel-Eisenwurzen","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"123","AT121","2017",41190,245860,NA,"AUT","Mostviertel-Eisenwurzen","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"124","AT121","2018",41157,246400,NA,"AUT","Mostviertel-Eisenwurzen","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"125","AT121","2019",41953,247040,NA,"AUT","Mostviertel-Eisenwurzen","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"126","AT121","2020",38653.9898666303,247460,NA,"AUT","Mostviertel-Eisenwurzen","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"127","AT122","2000",31471,246170,NA,"AUT","Niederösterreich-Süd","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"128","AT122","2001",32079,245670,NA,"AUT","Niederösterreich-Süd","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"129","AT122","2002",32191,246470,NA,"AUT","Niederösterreich-Süd","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"130","AT122","2003",32551,247420,NA,"AUT","Niederösterreich-Süd","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"131","AT122","2004",33061,248830,NA,"AUT","Niederösterreich-Süd","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"132","AT122","2005",33589,250270,NA,"AUT","Niederösterreich-Süd","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"133","AT122","2006",34178,251240,NA,"AUT","Niederösterreich-Süd","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"134","AT122","2007",36189,251600,NA,"AUT","Niederösterreich-Süd","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"135","AT122","2008",36364,251950,NA,"AUT","Niederösterreich-Süd","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"136","AT122","2009",34231,252320,NA,"AUT","Niederösterreich-Süd","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"137","AT122","2010",35269,252530,NA,"AUT","Niederösterreich-Süd","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"138","AT122","2011",35947,252880,NA,"AUT","Niederösterreich-Süd","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"139","AT122","2012",36422,253160,NA,"AUT","Niederösterreich-Süd","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"140","AT122","2013",36333,253620,NA,"AUT","Niederösterreich-Süd","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"141","AT122","2014",36957,254870,NA,"AUT","Niederösterreich-Süd","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"142","AT122","2015",36636,256930,NA,"AUT","Niederösterreich-Süd","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"143","AT122","2016",36235,258890,NA,"AUT","Niederösterreich-Süd","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"144","AT122","2017",37417,259640,NA,"AUT","Niederösterreich-Süd","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"145","AT122","2018",38367,260060,NA,"AUT","Niederösterreich-Süd","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"146","AT122","2019",38879,260820,NA,"AUT","Niederösterreich-Süd","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"147","AT122","2020",35821.7164928544,261710,NA,"AUT","Niederösterreich-Süd","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"148","AT123","2000",42362,141530,NA,"AUT","Sankt Pölten","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"149","AT123","2001",43235,142050,NA,"AUT","Sankt Pölten","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"150","AT123","2002",43800,142610,NA,"AUT","Sankt Pölten","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"151","AT123","2003",45035,143380,NA,"AUT","Sankt Pölten","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"152","AT123","2004",44955,144570,NA,"AUT","Sankt Pölten","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"153","AT123","2005",46071,145790,NA,"AUT","Sankt Pölten","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"154","AT123","2006",47218,146630,NA,"AUT","Sankt Pölten","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"155","AT123","2007",49425,147150,NA,"AUT","Sankt Pölten","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"156","AT123","2008",50275,147570,NA,"AUT","Sankt Pölten","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"157","AT123","2009",49232,147890,NA,"AUT","Sankt Pölten","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"158","AT123","2010",50349,148120,NA,"AUT","Sankt Pölten","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"159","AT123","2011",51279,148380,NA,"AUT","Sankt Pölten","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"160","AT123","2012",51358,148690,NA,"AUT","Sankt Pölten","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"161","AT123","2013",51214,149190,NA,"AUT","Sankt Pölten","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"162","AT123","2014",50499,150080,NA,"AUT","Sankt Pölten","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"163","AT123","2015",52065,151620,NA,"AUT","Sankt Pölten","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"164","AT123","2016",52262,153310,NA,"AUT","Sankt Pölten","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"165","AT123","2017",53202,154470,NA,"AUT","Sankt Pölten","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"166","AT123","2018",52354,155170,NA,"AUT","Sankt Pölten","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"167","AT123","2019",53201,155900,NA,"AUT","Sankt Pölten","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"168","AT123","2020",49017.4937404858,156690,NA,"AUT","Sankt Pölten","NMR-M","Near a FUA>250K","Non-metropolitan","Near a FUA>250K","Near a FUA>250K"
"169","AT124","2000",28568,227080,NA,"AUT","Waldviertel","NMR-R","Remote","Non-metropolitan","Far from a FUA>250K","Far from a FUA>250K"
"170","AT124","2001",29378,223730,NA,"AUT","Waldviertel","NMR-R","Remote","Non-metropolitan","Far from a FUA>250K","Far from a FUA>250K"
"171","AT124","2002",29915,223130,NA,"AUT","Waldviertel","NMR-R","Remote","Non-metropolitan","Far from a FUA>250K","Far from a FUA>250K"
"172","AT124","2003",30288,222610,NA,"AUT","Waldviertel","NMR-R","Remote","Non-metropolitan","Far from a FUA>250K","Far from a FUA>250K"
"173","AT124","2004",31357,222250,NA,"AUT","Waldviertel","NMR-R","Remote","Non-metropolitan","Far from a FUA>250K","Far from a FUA>250K"
